time,latitude,longitude,mag,nst,net
2013-12-09T08:09:35.700Z,36.3058,-120.8587,2,,nc
2013-12-09T07:39:37.770Z,9.6103,93.0579,4.9,,us
2013-12-09T07:35:49.000Z,38.8263,-122.8063,0.6,,nc
2013-12-09T07:30:06.000Z,40.1618,-123.097,2.3,,nc
2013-12-09T07:27:08.000Z,61.2706,-151.4635,1.6,8,ak
2013-12-09T07:17:10.000Z,61.622,-150.1385,1.3,13,ak
2013-12-09T06:58:07.500Z,38.8383,-122.8288,0.6,,nc
2013-12-09T06:54:35.400Z,38.8428,-122.829,1.1,,nc
2013-12-09T06:54:27.400Z,39.6177,-123.4822,2.6,,nc
2013-12-09T06:47:19.100Z,18.2075,-68.0658,3.3,15,pr
2013-12-09T06:41:16.000Z,37.5913,-119.0185,1.2,,nc
2013-12-09T06:37:04.000Z,60.9935,-146.8384,0.8,5,ak
2013-12-09T06:33:52.900Z,38.8407,-122.8297,0.6,,nc
2013-12-09T06:25:02.270Z,34.0538333,-117.86,1.09,18,ci
2013-12-09T06:17:57.190Z,33.6598333,-116.7623333,0.4,14,ci
2013-12-09T06:17:53.150Z,33.6611667,-116.7651667,0.56,22,ci
2013-12-09T06:15:16.780Z,33.6601667,-116.7651667,0.32,20,ci
2013-12-09T06:09:37.000Z,63.095,-151.4458,1.5,11,ak
2013-12-09T05:59:15.000Z,64.6877,-147.68,0.8,10,ak
2013-12-09T05:57:21.000Z,17.9627,-66.2884,2.8,10,pr
2013-12-09T05:53:01.200Z,46.6153,-121.7372,0.6,,uw
2013-12-09T05:43:09.000Z,62.2182,-150.7715,1.5,6,ak
2013-12-09T05:37:31.000Z,47.4278,-123.2172,0.5,,uw
2013-12-09T05:31:41.460Z,-22.2983,-179.5056,4.5,,us
2013-12-09T05:24:54.000Z,62.5931,-151.05,1.9,34,ak
2013-12-09T04:54:38.500Z,38.8272,-122.8045,1.2,,nc
2013-12-09T04:49:34.300Z,39.6137,-123.4802,1.9,,nc
2013-12-09T04:45:43.000Z,63.0797,-151.519,1.5,13,ak
2013-12-09T04:29:25.210Z,33.4881667,-116.4978333,0.37,18,ci
2013-12-09T04:29:17.000Z,56.8623,-155.1224,3.4,42,ak
2013-12-09T04:27:48.600Z,47.4328,-123.2197,0.7,,uw
2013-12-09T04:27:27.000Z,60.7775,-150.9547,1.2,17,ak
2013-12-09T04:20:17.000Z,38.8262,-122.8392,0.6,,nc
2013-12-09T04:19:19.000Z,56.3883,-144.5848,3.7,,us
2013-12-09T03:55:57.000Z,63.3099,-144.9907,1.8,17,ak
2013-12-09T03:06:09.000Z,62.2794,-145.8717,1.5,9,ak
2013-12-09T03:02:33.900Z,19.607,-156.1238,1.8,,hv
2013-12-09T02:55:59.700Z,38.8395,-122.8295,0.9,,nc
2013-12-09T02:55:45.300Z,46.845,-121.933,0.5,,uw
2013-12-09T02:53:33.490Z,33.5868333,-116.8163333,1.17,37,ci
2013-12-09T02:41:39.400Z,37.5898,-119.0195,1.1,,nc
2013-12-09T02:34:32.700Z,38.812,-122.8143,1.1,,nc
2013-12-09T02:34:28.000Z,38.8135,-122.8172,1.6,,nc
2013-12-09T02:34:16.000Z,38.8118,-122.8152,1.4,,nc
2013-12-09T02:06:04.810Z,33.517,-116.5241667,0.51,15,ci
2013-12-09T01:58:52.770Z,36.0103333,-117.5535,1.42,13,ci
2013-12-09T01:57:14.840Z,34.2875,-118.4495,1.02,7,ci
2013-12-09T01:55:50.400Z,38.8453,-122.802,1,,nc
2013-12-09T01:52:47.400Z,38.7898,-122.7025,1.4,,nc
2013-12-09T01:43:21.800Z,44.7217,-110.0118,1.3,,uu
2013-12-09T01:36:54.000Z,62.3393,-149.1494,2,35,ak
2013-12-09T01:31:52.270Z,36.8111,-115.9863,0.96,16,nn
2013-12-09T01:30:14.000Z,38.8418,-122.8288,1,,nc
2013-12-09T01:08:35.000Z,62.3655,-149.0367,0.7,13,ak
2013-12-09T01:04:34.010Z,32.675,-115.4448333,1.38,10,ci
2013-12-09T00:54:26.381Z,36.8116,-115.9942,1.12,14,nn
2013-12-09T00:53:08.000Z,38.8382,-122.8028,0.7,,nc
2013-12-09T00:51:46.470Z,32.7053333,-115.4776667,1.58,13,ci
2013-12-09T00:50:49.000Z,63.9702,-150.3105,0.7,6,ak
2013-12-09T00:37:06.000Z,38.8357,-122.8035,1.8,,nc
2013-12-09T00:35:21.000Z,61.5528,-141.0676,1.3,12,ak
2013-12-09T00:23:54.780Z,32.6706667,-115.4641667,1.44,12,ci
2013-12-09T00:22:03.530Z,32.6668333,-115.4533333,1.52,11,ci
2013-12-09T00:16:51.700Z,38.8228,-122.8442,0.9,,nc
2013-12-09T00:14:05.910Z,33.6576667,-116.6795,1.69,10,ci
2013-12-09T00:03:18.270Z,-15.9721,-171.0687,5.2,,us
2013-12-09T00:01:27.730Z,32.6771667,-115.462,1.66,11,ci
2013-12-08T23:52:52.520Z,32.8826667,-116.253,0.96,9,ci
2013-12-08T23:48:46.000Z,61.5795,-146.4248,1.9,28,ak
2013-12-08T23:45:21.740Z,32.7338333,-115.4891667,2.23,16,ci
2013-12-08T23:44:47.040Z,32.7353333,-115.4858333,2.14,29,ci
2013-12-08T23:42:13.140Z,36.0914,-96.9646,2.9,,us
2013-12-08T23:31:37.660Z,33.4773333,-116.4381667,0.92,31,ci
2013-12-08T22:52:09.000Z,60.1429,-146.7919,1.8,11,ak
2013-12-08T22:52:07.210Z,-60.5904,-42.4622,4.7,,us
2013-12-08T22:48:06.000Z,63.0759,-151.4076,1.6,11,ak
2013-12-08T22:38:47.200Z,19.5362,-155.0353,1.9,,hv
2013-12-08T22:28:21.000Z,62.4107,-149.1244,0.8,13,ak
2013-12-08T22:17:17.500Z,49.4962,-120.4713,2.4,,uw
2013-12-08T22:16:49.000Z,63.4522,-148.2582,1.3,15,ak
2013-12-08T21:59:26.000Z,63.1598,-150.6748,1.9,28,ak
2013-12-08T21:52:19.000Z,62.765,-150.6009,1.4,15,ak
2013-12-08T21:43:22.400Z,38.8098,-122.8288,0.6,,nc
2013-12-08T21:40:30.700Z,38.8063,-122.7913,0.4,,nc
2013-12-08T21:39:24.800Z,38.8078,-122.7562,1.4,,nc
2013-12-08T21:35:05.000Z,60.6956,-150.6543,1.9,28,ak
2013-12-08T21:17:22.000Z,60.2697,-143.0176,1,5,ak
2013-12-08T20:56:28.070Z,-22.4,170.5201,4.7,,us
2013-12-08T20:47:18.600Z,38.7932,-122.7713,0.5,,nc
2013-12-08T20:44:34.810Z,33.429,-117.0083333,0.7,10,ci
2013-12-08T20:38:57.367Z,39.9097,-120.8015,0.84,8,nn
2013-12-08T20:06:41.000Z,63.5504,-147.5707,1.2,8,ak
2013-12-08T19:57:58.900Z,31.9918333,-116.128,2.12,17,ci
2013-12-08T19:55:55.740Z,-10.1027,109.3891,4.7,,us
2013-12-08T19:41:41.000Z,38.8092,-122.8122,0.8,,nc
2013-12-08T19:33:57.000Z,59.7371,-152.1157,2.9,78,ak
2013-12-08T19:30:40.000Z,63.044,-148.6773,1,9,ak
2013-12-08T19:21:06.000Z,38.7918,-122.8023,0.9,,nc
2013-12-08T19:10:33.000Z,60.2333,-152.7528,1.9,31,ak
2013-12-08T19:10:12.000Z,61.2748,-146.441,1.9,33,ak
2013-12-08T19:08:47.870Z,32.7353333,-115.4985,1.48,15,ci
2013-12-08T18:59:54.000Z,38.818,-122.8157,0.4,,nc
2013-12-08T18:49:09.990Z,32.748,-115.496,1.66,16,ci
2013-12-08T18:45:58.990Z,32.7338333,-115.494,2.77,43,ci
2013-12-08T18:15:03.770Z,43.2572,-110.4964,3.2,,us
2013-12-08T18:08:08.670Z,43.2165,-110.6324,4.2,,us
2013-12-08T18:07:22.000Z,63.4862,-147.3756,1.5,10,ak
2013-12-08T17:57:16.000Z,60.538,-152.6614,0.5,5,ak
2013-12-08T17:52:25.000Z,63.0911,-151.3437,1.8,13,ak
2013-12-08T17:44:50.400Z,47.8238,-123.1422,0.5,,uw
2013-12-08T17:44:34.900Z,19.2117,-155.336,2.6,,hv
2013-12-08T17:43:33.000Z,59.7609,-151.9302,1.6,19,ak
2013-12-08T17:40:54.510Z,43.243,-110.608,3.8,,us
2013-12-08T17:40:10.160Z,44.4338,149.0289,4.9,,us
2013-12-08T17:39:06.900Z,47.7917,-123.1033,0.1,,uw
2013-12-08T17:31:57.210Z,36.5618,31.2664,4.9,,us
2013-12-08T17:24:53.990Z,44.5096,149.0719,5.9,,us
2013-12-08T17:18:56.300Z,39.79,-124.0012,1.7,,nc
2013-12-08T17:08:36.000Z,58.8719,-153.819,2.5,18,ak
2013-12-08T16:48:41.523Z,37.3712,-117.1176,0.31,5,nn
2013-12-08T16:27:06.000Z,60.3815,-151.9722,1.5,24,ak
2013-12-08T16:25:44.000Z,63.3359,-145.3804,1.1,7,ak
2013-12-08T16:23:22.400Z,36.245,-120.7973,1.3,,nc
2013-12-08T16:11:05.500Z,38.79,-122.7375,2.1,,nc
2013-12-08T16:08:15.940Z,35.559,-96.754,2.6,,us
2013-12-08T16:03:50.000Z,62.9232,-150.817,1.7,22,ak
2013-12-08T15:47:36.200Z,38.781,-122.7258,0.9,,nc
2013-12-08T15:28:36.200Z,38.8213,-122.8085,0.9,,nc
2013-12-08T15:20:16.080Z,34.1178333,-116.9936667,1.07,43,ci
2013-12-08T15:14:44.000Z,60.6506,-143.1495,0.7,5,ak
2013-12-08T15:13:27.400Z,47.7387,-122.8463,0.3,,uw
2013-12-08T15:10:19.400Z,17.1394,-65.9489,3.1,19,pr
2013-12-08T15:09:41.000Z,63.038,-150.2119,1.4,8,ak
2013-12-08T15:01:31.800Z,19.3828,-155.2577,1.9,,hv
2013-12-08T14:53:08.800Z,38.6812,-122.417,2.5,,nc
2013-12-08T14:43:36.900Z,38.8065,-122.7988,0.5,,nc
2013-12-08T14:32:34.700Z,37.9545,-118.5743,2,,nc
2013-12-08T14:16:35.600Z,38.7998,-122.8135,0.5,,nc
2013-12-08T14:01:52.430Z,33.5053333,-116.4565,1.01,32,ci
2013-12-08T14:01:22.720Z,-28.605,-66.9147,4.7,,us
2013-12-08T14:00:17.000Z,38.8312,-122.8007,0.6,,nc
2013-12-08T13:56:36.000Z,64.7142,-149.2395,1.4,19,ak
2013-12-08T13:56:19.400Z,38.6068,-112.0657,1.6,,uu
2013-12-08T13:54:18.000Z,64.5048,-148.0132,1.9,30,ak
2013-12-08T13:52:58.900Z,38.8037,-122.77,0.9,,nc
2013-12-08T13:46:56.600Z,19.334,-155.18,2.2,,hv
2013-12-08T13:43:16.860Z,34.061,-117.4676667,1.06,29,ci
2013-12-08T13:41:47.500Z,44.8015,-110.5262,1.8,,uu
2013-12-08T13:39:27.404Z,36.7246,-117.235,0.08,5,nn
2013-12-08T13:39:21.000Z,62.0855,-148.8393,1.4,9,ak
2013-12-08T13:23:29.000Z,62.4937,-149.5089,1.5,13,ak
