time,latitude,longitude,mag,net
2013-11-20T10:19:05.900Z,19.3285,-155.1168,2.1,hv
2013-11-20T10:09:19.260Z,12.423,95.1805,5.3,us
2013-11-20T09:23:09.000Z,61.4194,-150.7567,1.9,ak
2013-11-20T09:21:58.000Z,38.829,-122.837,1.3,nc
2013-11-20T09:01:13.000Z,63.029,-151.5713,1.6,ak
2013-11-20T08:40:59.500Z,38.8247,-122.9152,1.2,nc
2013-11-20T08:34:42.000Z,63.3589,-144.9696,1.6,ak
2013-11-20T08:30:04.700Z,37.4202,-118.4897,1.7,nc
2013-11-20T08:20:21.210Z,27.5563,56.0329,4.3,us
2013-11-20T08:18:30.000Z,63.0172,-151.4617,1.8,ak
2013-11-20T08:05:29.000Z,61.6219,-150.9345,1.8,ak
2013-11-20T07:44:39.000Z,59.7796,-152.9663,2.4,ak
2013-11-20T07:41:43.200Z,39.7813,-120.6623,1.9,nc
2013-11-20T07:01:49.160Z,18.1444,145.3113,4.5,us
2013-11-20T06:57:29.000Z,63.4449,-151.1887,2.1,ak
2013-11-20T06:49:23.100Z,36.0695,-117.6443,1,ci
2013-11-20T06:47:15.000Z,61.4707,-150.2367,1,ak
2013-11-20T06:11:20.962Z,39.2861,-119.134,2.15,nn
2013-11-20T05:52:48.000Z,38.807,-122.825,1,nc
2013-11-20T05:44:50.650Z,-60.3818,-47.0087,4.9,us
2013-11-20T05:34:57.000Z,61.6805,-149.6102,1.7,ak
2013-11-20T05:32:34.270Z,-60.4563,-43.4661,4.7,us
2013-11-20T05:24:49.000Z,63.3115,-150.1303,1.1,ak
